OBJECTID,SampleID,Ename,ID_Number,Peviously_Marked,Marked_mussel,Status,Sex,Gravidity,Age,Length,Height,VoucherLocation,VoucherType,ZebrasAttached,Comments,Northing,Easting,Method,NumberLive,NUM5YEAR,NumZebrasAttached1,PerZebraCoverage1,Listed_old,Tolerant_old,Lampsilini_old,Juveniles_old,Over_15yrs_old,tribe_old
47,201009221403.000000000000000,Actinonaias ligamentina,,No,No,Weathered Dead,,,,,,,,,,4743647.979399999603629,655360.015999999828637,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
48,201009221403.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743647.979399999603629,655360.015999999828637,Quantitative,0,0,,,0,1,0,0,0,Amblemini
49,201009221403.000000000000000,Quadrula pustulosa pustulosa,,No,No,Weathered Dead,,,,,,,,,,4743647.979399999603629,655360.015999999828637,Quantitative,0,0,,,0,0,0,0,0,Quadrulini
50,201009221403.000000000000000,Arcidens confragosus,,No,No,Weathered Dead,,,,,,,,,,4743647.979399999603629,655360.015999999828637,Quantitative,0,0,,,0,0,0,0,0,Anodontini
51,201009221403.000000000000000,Elliptio dilatata,,No,No,Weathered Dead,,,,,,,,,,4743647.979399999603629,655360.015999999828637,Quantitative,0,0,,,0,0,0,0,0,Pleurobemini
52,201009221403.000000000000000,Ligumia recta,,No,No,Weathered Dead,,,,,,,,,,4743647.979399999603629,655360.015999999828637,Quantitative,0,0,,,1,0,1,0,0,Lampsilini
53,201009221404.000000000000000,Amblema plicata,,No,No,Live,,,6,57,,,,No,,4743647.990100000053644,655355.018199999816716,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
54,201009221404.000000000000000,Quadrula pustulosa pustulosa,,No,No,Live,,,5,32,,,,No,,4743647.990100000053644,655355.018199999816716,Quantitative,1,1,0,0,0,0,0,1,0,Quadrulini
55,201009221404.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743647.990100000053644,655355.018199999816716,Quantitative,0,0,,,0,1,0,0,0,Amblemini
56,201009221404.000000000000000,Quadrula pustulosa pustulosa,,No,No,Fresh Dead,,,,,,,,,,4743647.990100000053644,655355.018199999816716,Quantitative,0,0,,,0,0,0,0,0,Quadrulini
57,201009221404.000000000000000,Quadrula pustulosa pustulosa,,No,No,Weathered Dead,,,,,,,,,,4743647.990100000053644,655355.018199999816716,Quantitative,0,0,,,0,0,0,0,0,Quadrulini
58,201009221404.000000000000000,Fusconaia ebena,,No,No,Fresh Dead,,,,,,,,,,4743647.990100000053644,655355.018199999816716,Quantitative,0,0,,,1,0,0,0,0,Pleurobemini
